state,state_name,count_weeks,total,measure_type,measure,measure_ina,measure_n,start_week,end_week,measure_pct,measure_pct_ina,measure_median_pct_march,measure_ppt_diff_after_shutdowns
ND,North Dakota,4,45238,race,ina,1115,1115,2020-03-21,2020-04-11,0.024647420310358548,0.024647420310358548,0.04842836257309942,-2
ND,North Dakota,4,45238,race,native_alaskan,1115,1848,2020-03-21,2020-04-11,0.041882918205924345,0.024647420310358548,0.06594724220623502,-2
ND,North Dakota,4,45238,race,white,1115,36233,2020-03-21,2020-04-11,0.82118169662081,0.024647420310358548,0.8972495088408644,-8
ND,North Dakota,4,45238,sex,female,3,22555,2020-03-21,2020-04-11,0.4986183265170775,6.63159290861665e-5,0.1668029435813573,33
ND,North Dakota,4,45238,sex,ina,3,3,2020-03-21,2020-04-11,6.63159290861665e-5,6.63159290861665e-5,0.0033846674564224064,-0
ND,North Dakota,4,45238,sex,male,3,22680,2020-03-21,2020-04-11,0.5013816734829225,6.63159290861665e-5,0.8331970564186427,-33
NE,Nebraska,4,82682,age,24_under,3075,13183,2020-03-21,2020-04-11,0.16560101498611932,0.037190682373430733,0.09137865552601596,7
NE,Nebraska,4,82682,age,25_34,3075,22076,2020-03-21,2020-04-11,0.27731229665732915,0.037190682373430733,0.24287884542347132,3
NE,Nebraska,4,82682,age,35_44,3075,16982,2020-03-21,2020-04-11,0.21332294898689813,0.037190682373430733,0.24251497005988024,-3
NE,Nebraska,4,82682,age,45_54,3075,11936,2020-03-21,2020-04-11,0.14993656336754305,0.037190682373430733,0.2317777430934915,-8
NE,Nebraska,4,82682,age,55_64,3075,10508,2020-03-21,2020-04-11,0.13199844234803473,0.037190682373430733,0.13913349771046143,-1
NE,Nebraska,4,82682,age,65_over,3075,4922,2020-03-21,2020-04-11,0.061828733654075645,0.037190682373430733,0.04151158374477782,2
NE,Nebraska,4,82682,age,ina,3075,3075,2020-03-21,2020-04-11,0.037190682373430733,0.037190682373430733,0,4
NE,Nebraska,4,82682,eth,ina,5340,5340,2020-03-21,2020-04-11,0.06458479475581143,0.06458479475581143,0.12351845580765324,-6
NE,Nebraska,4,82682,eth,latinx,5340,7584,2020-03-21,2020-04-11,0.09805797626128106,0.06458479475581143,0.06099659795877527,4
NE,Nebraska,4,82682,eth,not_latinx,5340,69758,2020-03-21,2020-04-11,0.9019420237387189,0.06458479475581143,0.8960563762027375,1
NE,Nebraska,4,82682,industry,accomodation_food,9490,16596,2020-03-21,2020-04-11,0.2267460924691223,0.11477709779637647,0.04462102689486552,18
NE,Nebraska,4,82682,industry,admin_support_wastemgmt_remedial,9490,4106,2020-03-21,2020-04-11,0.05609902721608919,0.11477709779637647,0.1143099787685775,-6
NE,Nebraska,4,82682,industry,ag_forest_fish_hunt,9490,246,2020-03-21,2020-04-11,0.0033610230626297958,0.11477709779637647,0.008259587020648967,-0
NE,Nebraska,4,82682,industry,arts_ent_rec,9490,2700,2020-03-21,2020-04-11,0.03688927751666849,0.11477709779637647,0.012195121951219513,2
NE,Nebraska,4,82682,industry,construction,9490,3606,2020-03-21,2020-04-11,0.04926767952781725,0.11477709779637647,0.20553318880974503,-16
NE,Nebraska,4,82682,industry,educational_services,9490,2944,2020-03-21,2020-04-11,0.040222975188545194,0.11477709779637647,0.014057618882332524,3
NE,Nebraska,4,82682,industry,finance_insurance,9490,879,2020-03-21,2020-04-11,0.012009509235982074,0.11477709779637647,0.029742129409903496,-2
NE,Nebraska,4,82682,industry,healthcare_social_assistance,9490,10856,2020-03-21,2020-04-11,0.1483222210077604,0.11477709779637647,0.06539693241193326,8
NE,Nebraska,4,82682,industry,ina,9490,9490,2020-03-21,2020-04-11,0.11477709779637647,0.11477709779637647,0.06826861871419478,5
NE,Nebraska,4,82682,industry,information,9490,964,2020-03-21,2020-04-11,0.013170838342988305,0.11477709779637647,0.016313932980599646,-0
NE,Nebraska,4,82682,industry,management_of_cos_ent,9490,435,2020-03-21,2020-04-11,0.0059432724887965895,0.11477709779637647,0.0035866780529461998,0
NE,Nebraska,4,82682,industry,manufacturing,9490,4678,2020-03-21,2020-04-11,0.06391408897147229,0.11477709779637647,0.13051146384479717,-7
NE,Nebraska,4,82682,industry,mining,9490,29,2020-03-21,2020-04-11,3.9621816591977265e-4,0.11477709779637647,0.010064847338557146,-1
NE,Nebraska,4,82682,industry,other_services_excl_public_admin,9490,7791,2020-03-21,2020-04-11,0.1064460596786534,0.11477709779637647,0.018066847335140017,9
NE,Nebraska,4,82682,industry,prof_scientific_tech_services,9490,2155,2020-03-21,2020-04-11,0.029443108536452073,0.11477709779637647,0.029214411066377618,0
NE,Nebraska,4,82682,industry,public_admin,9490,600,2020-03-21,2020-04-11,0.00819761722592633,0.11477709779637647,0.028522630230572162,-2
NE,Nebraska,4,82682,industry,real_estate,9490,1015,2020-03-21,2020-04-11,0.013867635807192042,0.11477709779637647,0.012322423671611333,0
NE,Nebraska,4,82682,industry,retail_trade,9490,10032,2020-03-21,2020-04-11,0.13706416001748825,0.11477709779637647,0.0844020607256385,5
NE,Nebraska,4,82682,industry,transport_warehouse,9490,1993,2020-03-21,2020-04-11,0.02722975188545196,0.11477709779637647,0.032251720747295966,-1
NE,Nebraska,4,82682,industry,utilities,9490,24,2020-03-21,2020-04-11,3.2790468903705323e-4,0.11477709779637647,0.00199159105996902,-0
NE,Nebraska,4,82682,industry,wholesale_trade,9490,1543,2020-03-21,2020-04-11,0.021081538966007216,0.11477709779637647,0.036037574722459435,-1
NE,Nebraska,4,82682,race,asian,9980,2523,2020-03-21,2020-04-11,0.03470330940001651,0.1207034179144191,0.013623402682437427,2
NE,Nebraska,4,82682,race,black,9980,6120,2020-03-21,2020-04-11,0.08417925229017083,0.1207034179144191,0.10443864229765012,-2
NE,Nebraska,4,82682,race,hawaiian_pi,9980,348,2020-03-21,2020-04-11,0.004786663365519518,0.1207034179144191,0.002023045122702085,0
NE,Nebraska,4,82682,race,ina,9980,9980,2020-03-21,2020-04-11,0.1207034179144191,0.1207034179144191,0.2097661623108666,-9
NE,Nebraska,4,82682,race,native_alaskan,9980,1587,2020-03-21,2020-04-11,0.02182883552034332,0.1207034179144191,0.016407718043906686,1
NE,Nebraska,4,82682,race,white,9980,62124,2020-03-21,2020-04-11,0.8545019394239498,0.1207034179144191,0.8511936815652487,0
NE,Nebraska,4,82682,sex,female,3445,48903,2020-03-21,2020-04-11,0.6171737950704848,0.04166565878909557,0.3543370579426333,26
NE,Nebraska,4,82682,sex,ina,3445,3445,2020-03-21,2020-04-11,0.04166565878909557,0.04166565878909557,0.03395366502088872,1
NE,Nebraska,4,82682,sex,male,3445,30334,2020-03-21,2020-04-11,0.38282620492951525,0.04166565878909557,0.6456629420573666,-26
NJ,New Jersey,4,580954,age,24_under,0,67145,2020-03-21,2020-04-11,0.11557713691617581,0,0.08230340188930318,3
NJ,New Jersey,4,580954,age,25_34,0,131839,2020-03-21,2020-04-11,0.22693535116377545,0,0.23132164146217965,-0
NJ,New Jersey,4,580954,age,35_44,0,107676,2020-03-21,2020-04-11,0.18534341789539274,0,0.25399423008466127,-7
NJ,New Jersey,4,580954,age,45_54,0,110835,2020-03-21,2020-04-11,0.1907810256922235,0,0.2120667791304191,-2
NJ,New Jersey,4,580954,age,55_64,0,111784,2020-03-21,2020-04-11,0.19241454572995453,0,0.12500374619494786,7
NJ,New Jersey,4,580954,age,65_over,0,51675,2020-03-21,2020-04-11,0.08894852260247799,0,0.040297634523081695,5
NJ,New Jersey,4,580954,eth,ina,54240,54240,2020-03-21,2020-04-11,0.09336367423238329,0.09336367423238329,0.07651371074383007,2
